NodeID,TagName,QueueSize,ObservabilityMode,Sampling Interval Milliseconds
nsu=http://opcfoundation.org/UA/Station/;i=379,manufactured product serial number,1,none,500
nsu=http://opcfoundation.org/UA/Station/;i=385,number of manufactured products,1,none,500
nsu=http://opcfoundation.org/UA/Station/;i=391,number of discarded products,1,none,500
nsu=http://opcfoundation.org/UA/Station/;i=398,running time,1,none,500
nsu=http://opcfoundation.org/UA/Station/;i=399,faulty time,1,none,500
nsu=http://opcfoundation.org/UA/Station/;i=400,status,1,none,500
nsu=http://opcfoundation.org/UA/Station/;i=406,energy consumption,1,none,500
nsu=http://opcfoundation.org/UA/Station/;i=412,ideal cycle time,1,none,500
nsu=http://opcfoundation.org/UA/Station/;i=418,actual cycle time,1,none,500
nsu=http://opcfoundation.org/UA/Station/;i=434,pressure,1,none,500
